System,System Name,Sub System,Sub System Name,Sub Sub System,Sub Sub Sytem Name
01,BODY SYSTEM,0110,SEATING,0110B,FRT SEAT SPRING / FRAME /TRACK MECH
01,BODY SYSTEM,0110,SEATING,0110C,REAR SEAT TRIM/ ORNAMENTS
01,BODY SYSTEM,0110,SEATING,0110D,REAR SEAT SPRING / FRAME  / TRACK MECH
01,BODY SYSTEM,0110,SEATING,0110E,AUXILARY SEAT TRIM / ORNAMENTS
01,BODY SYSTEM,0110,SEATING,0110F,AUXILARY SEAT SPRING / FRAME /TRACK MECH
01,BODY SYSTEM,0110,SEATING,0110G,POWER SEAT MECHANISM
01,BODY SYSTEM,0110,SEATING,0110H,POWER SEAT ELECTRIC MOTORS
01,BODY SYSTEM,0110,SEATING,0110J,POWER SEAT CONTROLS
01,BODY SYSTEM,0110,SEATING,0110K,POWER MEMORY SEAT CONTROL MODULE
01,BODY SYSTEM,0110,SEATING,0110L,ELECTRICALLY HEATED SEATS
01,BODY SYSTEM,0110,SEATING,0110M,SEAT OCCUPANT SENSING SWITCHES
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111A,WINDSHIELD GLASS ( GLAZING)
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111B,ROOF GLASS FIXED
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111C,FRT/REAR DOOR GLASS-FRMAE / MECH.
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111D,BODY SIDE QTR. GLASS-FRAME / MECH
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111E,BODY REAR END GLASS -FRAME/MECH
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111H,POWER WINDOW MECHANISMS
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111J,POWER WINDOW CONTROLS
01,BODY SYSTEM,0111,GLASS FRAMES AND MECHANISMS,0111K,POWER WINDOW MOTORS
01,BODY SYSTEM,0112,INSTRUMENT PNL. & CONSOLE,0112A,INSTRUMENT PANEL
01,BODY SYSTEM,0112,INSTRUMENT PNL. & CONSOLE,0112B,CONSOLE UNIT
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114A,LOCK SET AND KEYS
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114B,KEY ILLUMINATION DEVICE
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114C,BODY FRONT END/HOOD LATCH MECH
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114D,BODY SIDE DOORS- HANDLES / LATCHES
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114E,D-LID/T-GATE /L-GATE- HANDLE /LATCHES
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114F,U-BODY-FLR COMPT LATCHES/MECH
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114G,POWER LOCK SOLENOIDS/MOTORS
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114H,POWER LOCK CONTROLS
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114J,KEYS LESS ENTRY/COMPUTER OPERATING LOCK
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114K,FUEL FILL DOOR LATCHES MECH
01,BODY SYSTEM,0114,HANDLES /LOCKS LATCH MECH,0114L,DAMPNER
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116A,WINDSHIELD/BACKLITE WIPERS
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116B,LINKAGES
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116C,WINDSHIELD/BACKLITE WASHERS
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116D,HEAD LAMP / TAIL LAMP WASHERS
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116E,WIPER MOTORS
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116F,WIPER/WASHER CONTROLS
01,BODY SYSTEM,0116,WIPERS AND WASHERS,0116G,WASHER FLUID
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117A,CONVERTIBLE TOP & TRIM
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117B,CONVERTIBLE TOP MECHANISM
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117C,ROOF OPENING PANEL-CONVERTIBLE TOP
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117D,ROOF OPENG PNL HINGE /REM MECH-CONV TOP
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117E,ROOF OPENG PNL SLIDING MECH- CONV TOP
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117F,POWER OPERATION CONTROL- CONVERTIBLE TOP
01,BODY SYSTEM,0117,CONVERTIBLE TOP / ROOF OPEN PNL,0117G,ELECTRIC MOTOR-CONVERTIBLE TOP
01,BODY SYSTEM,0118,BODY PAINT AREA,0118A,BODY PAINT
01,BODY SYSTEM,0118,BODY PAINT AREA,0118B,BODY CORROSSION PROTECTION
01,BODY SYSTEM,0118,BODY PAINT AREA,0118C,BODY STRIPES-PAINT /TAPE /V-FILM
01,BODY SYSTEM,0119,BUMPERS,0119A,FRONT BUMPER
01,BODY SYSTEM,0119,BUMPERS,0119B,REAR BUMPER
01,BODY SYSTEM,0119,BUMPERS,0119C,ENERGY ABSORBER /BUMPER ISOL UNIT
01,BODY SYSTEM,0119,BUMPERS,0119D,LIC. PLATE BRKTS
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120A,SEAT BELT /SHOULDER HARNESS
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120B,SEAT BELT /SHOULDER HARNESS SWITCH
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120C,PASSENGER RESTRAINT BAG
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120D,MISC. PASSIVE RESTRAINT SYSTEMS
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120E,RESTRAINT DEVICE -ACTUATOR SENSING
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120F,RESTRAINING DEVICE -DIAGNOSTIC
01,BODY SYSTEM,0120,OCCUPANT RESTRAINING DEVICE,0120G,ELECTRIC MOTORS
01,BODY SYSTEM,0121,ADD-ON SLEEPER COMPARTMENT,0121A,SLEEPER COMPARTMENT
01,BODY SYSTEM,0122,SPARE TYRE MOUNTING ( BODY),0122A,SPARE WHEEL RETAINER
01,BODY SYSTEM,0122,SPARE TYRE MOUNTING ( BODY),0122B,SPARE WHEEL EXTERIOR MOUNTING
01,BODY SYSTEM,0123,MISC ACCESSORIES,0123A,MISC ACCESSORIES
02,FRAME  MOUNTING SYSTEM,0201,FRAME SUB SYSTEM,0201A,FRAME ASSY
02,FRAME  MOUNTING SYSTEM,0201,FRAME SUB SYSTEM,0201B,SPECIAL PROTECTIVE STRUCTURES
02,FRAME  MOUNTING SYSTEM,0201,FRAME SUB SYSTEM,0201C,FRAME CORROSSION PROTECTIONS
02,FRAME  MOUNTING SYSTEM,0201,FRAME SUB SYSTEM,0201E,SIDE MEMBERS
02,FRAME  MOUNTING SYSTEM,0201,FRAME SUB SYSTEM,0201F,CROSS MEMBERS
02,FRAME  MOUNTING SYSTEM,0202,BODY MOUNTING,0202A,BODY ISOLATION
02,FRAME  MOUNTING SYSTEM,0202,BODY MOUNTING,0202B,CAB TILTING MECHANISMS
02,FRAME  MOUNTING SYSTEM,0202,BODY MOUNTING,0202C,SECOND UNIT BODY TILTING MECH
02,FRAME  MOUNTING SYSTEM,0202,BODY MOUNTING,0202D,CAB SUSP LEVELLING MECH
02,FRAME  MOUNTING SYSTEM,0203,ENGINE / TRANSMISSION MOUNTING,0203A,ENGINE MOUNTS
02,FRAME  MOUNTING SYSTEM,0203,ENGINE / TRANSMISSION MOUNTING,0203B,TRANS/TRANSAXLE MOUNTS OR CROSSMEMBER
02,FRAME  MOUNTING SYSTEM,0203,ENGINE / TRANSMISSION MOUNTING,0203C,ROLL RESTRICTOR
02,FRAME  MOUNTING SYSTEM,0203,ENGINE / TRANSMISSION MOUNTING,0203D,ENGINE MOTION DAMPERS
02,FRAME  MOUNTING SYSTEM,0204,TOWING / COUPLING ATTACHMENTS,0204A,TOWING PROVISION
02,FRAME  MOUNTING SYSTEM,0204,TOWING / COUPLING ATTACHMENTS,0204B,TRAILER COUPLING ATTACHMENT
02,FRAME  MOUNTING SYSTEM,0204,TOWING / COUPLING ATTACHMENTS,0204C,JACK ATTACHMENT
02,FRAME  MOUNTING SYSTEM,0205,SPARE TYRE MOUNTING ( CHASSIS),0205A,SPARE WHEEL FRAME MOUNTING
02,FRAME  MOUNTING SYSTEM,0206,SPLASH / HEAT SHIELDS,0206A,DEFLECTORS AND SHIELDS
02,FRAME  MOUNTING SYSTEM,0206,SPLASH / HEAT SHIELDS,0206B,HEAT SHIELDS
02,FRAME  MOUNTING SYSTEM,0206,SPLASH / HEAT SHIELDS,0206C,APRON
02,FRAME  MOUNTING SYSTEM,0207,SOUND CONTROL,0207A,NOISE SHIELDS
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208A,SUSPENSION SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208C,STEERING SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208D,EXHAUST / UREA SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208E,FUEL LINE SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208F,BRAKE SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208G,BUMPER/BULL BAR SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208H,HEAT EXCHANGER SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208J,ELECTRICAL SUPPORT
02,FRAME  MOUNTING SYSTEM,0208,SUPPORT GROUP,0208K,CLUTCH SUPPORT
03,ENGINE SYSTEM,0301,ENGINE SYSTEM,0301A,MnM PRODUCED SPARK IGNIT IN-LINE
03,ENGINE SYSTEM,0301,ENGINE SYSTEM,0301B,MnM PRODUCED DIESEL IN LINE
03,ENGINE SYSTEM,0301,ENGINE SYSTEM,0301C,VENDOR PRODUCED SPARK IN-LINE
03,ENGINE SYSTEM,0301,ENGINE SYSTEM,0301D,VENDOR PRODUCED DIESEL IN-LINE
03,ENGINE SYSTEM,0302,BASIC ENGINE STRUCTURE,0302A,CYLINDER BLOCK
03,ENGINE SYSTEM,0302,BASIC ENGINE STRUCTURE,0302B,CYLINDER HEAD
03,ENGINE SYSTEM,0302,BASIC ENGINE STRUCTURE,0302C,INTAKE MANIFOLD
03,ENGINE SYSTEM,0302,BASIC ENGINE STRUCTURE,0302D,EXHAUST MANIFOLD
03,ENGINE SYSTEM,0302,BASIC ENGINE STRUCTURE,0302E,FLYWHEEL HOUSING /ADAPTER
03,ENGINE SYSTEM,0302,BASIC ENGINE STRUCTURE,0302F,ENGINE LIFTING EYES
03,ENGINE SYSTEM,0303,ENGINE LUBRICATION,0303A,OIL PUMP AND SCREEN
03,ENGINE SYSTEM,0303,ENGINE LUBRICATION,0303B,OIL FILTER DIPSTICK AND FILLER
03,ENGINE SYSTEM,0303,ENGINE LUBRICATION,0303C,OIL PAN AND RESERVIOR
03,ENGINE SYSTEM,0303,ENGINE LUBRICATION,0303D,ENGINE OIL COOLER
03,ENGINE SYSTEM,0303,ENGINE LUBRICATION,0303E,OIL DISTRIBUTION
03,ENGINE SYSTEM,0303,ENGINE LUBRICATION,0303F,ENGINE LUBRICANTS
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304A,RADIATOR & INTER COOLER  ASSY  
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304B,DEGASSING TANK & RECOVERY TANK
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304C,HOSES & PIPES
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304D,BRACKETS
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304E,PUMP
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304F,CONSUMABLES
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304G,ENGINE COOLANT
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304H,FAN DRIVE-ELECTRIC MOTOR
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304J,FAN DRIVE- RELAY
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304K,FAN- CONTROLS
03,ENGINE SYSTEM,0304,COOLING SYSTEMS,0304L,ENGINE COOLANT HEATING ELEMENT
03,ENGINE SYSTEM,0305,FUEL CHARGING AND CONTROLS,0305A,CARBURETION
